argumentTypeId,argumentTypeName,sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceTaxonKingdomName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetTaxonKingdomName,targetTaxonPhylumName,targetTaxonClassName,targetTaxonOrderName,targetTaxonFamilyName,targetTaxonGenusName,targetTaxonSpecificEpithetName,targetTaxonSubSpecificEpithetName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,localityId,localityName,decimalLatitude,decimalLongitude,observationDateTime,referenceDoi,referenceUrl,referenceCitation
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,St-Valérien-like virus,,,,,,,St-Valérien-like virus,,,,,,,,,Canada,,,2005,10.1007/s11262-009-0360-3,https://link.springer.com/article/10.1007/s11262-009-0360-3,"L'Homme, Y. et al. Genomic characterization of swine caliciviruses representing a new genus of Caliciviridae. Virus Genes 39, 66-75, doi:10.1007/s11262-009-0360-3 (2009)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,St-Valérien-like virus,,,,,,,St-Valérien-like virus,,,,,,,,,Canada,,,2005,10.1016/j.vetmic.2010.10.008,https://www.sciencedirect.com/science/article/pii/S0378113510004815,"Di Martino, B., Martella, V., Di Profio, F., Ceci, C. & Marsilio, F. Detection of St-Valerien-like viruses in swine, Italy. Veterinary microbiology 149, 221-224, doi:S0378-1135(10)00481-5 [pii] 10.1016/j.vetmic.2010.10.008 (2011)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Circovirus Porcine circovirus type 2,,,,,,Circovirus,Porcine circovirus,type 2,,,,,,,,Canada,,,1991,10.1177/104063879801000102,https://journals.sagepub.com/doi/abs/10.1177/104063879801000102,"Allan, G. M. et al. Isolation of porcine circovirus-like viruses from pigs with a wasting disease in the USA and Europe. J Vet Diagn Invest 10, 3-10 (1998)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Circovirus Porcine circovirus type 2,,,,,,Circovirus,Porcine circovirus,type 2,,,,,,,,Canada,,,1991, 10.1016/j.tvjl.2010.01.018,,"Grau-Roma, L., Fraile, L. & Segales, J. Recent advances in the epidemiology, diagnosis and control of diseases caused by porcine circovirus type 2. Vet J 187, 23-32, doi:S1090-0233(10)00034-1 [pii] 10.1016/j.tvjl.2010.01.018 (2011)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Alphacoronavirus Porcine Epidemic Diarrhea Virus,,,,,,Alphacoronavirus,Porcine Epidemic Diarrhea Virus,,,,,,,,,China,,,2010,10.3201/eid1801.111259,,"Sun, R. Q. et al. Outbreak of porcine epidemic diarrhea in suckling piglets, China. Emerg Infect Dis 18, 161-163, doi:10.3201/eid1801.111259 (2012)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Betacoronavirus SARS coronavirus,,,,,,Betacoronavirus,SARS coronavirus,,,,,,,,,China,,,2003,10.3201/eid1103.040824 (2005).,,"Chen, W. et al. SARS-associated coronavirus transmitted from human to pig. Emerg Infect Dis 11, 446-448, doi:10.3201/eid1103.040824 (2005)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Torovirus Porcine torovirus,,,,,,Torovirus,Porcine torovirus,,,,,,,,,UK,,,1987,,,"Scott, A. C., Chaplin, M. J., Stack, M. J. & Lund, L. J. Porcine torovirus? The Veterinary record 120, 583 (1987)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Ebolavirus Reston ebolavirus,,,,,,Ebolavirus,Reston ebolavirus,,,,,,,,,Philippines,,,2008,10.1126/science.1172705,,"Barrette, R. W. et al. Discovery of swine as a host for the Reston ebolavirus. Science 325, 204-206, doi:325/5937/204 [pii] 10.1126/science.1172705 (2009)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Pestivirus Bungowannah virus,,,,,,Pestivirus,Bungowannah virus,,,,,,,,,Australia,,,2003,10.1016/j.virusres.2007.05.002,,"Kirkland, P. D. et al. Identification of a novel virus in pigs--Bungowannah virus: a possible new species of pestivirus. Virus Res 129, 26-34, doi:S0168-1702(07)00159-1 [pii] 10.1016/j.virusres.2007.05.002 (2007)"
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Orthohepadnavirus Swine hepatitis B virus,,,,,,Orthohepadnavirus,Swine hepatitis B virus,,,,,,,,,China,,,2009,,,"Li, W., She, R., Liu, L., You, H. & Yin, J. Prevalence of a virus similar to human hepatitis B virus in swine. Virol J 7, 60, doi:1743-422X-7-60 [pii] 10.1186/1743-422X-7-60 (2010)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Hepevirus Hepatitis E virus,,,,,,Hepevirus,Hepatitis E virus,,,,,,,,,Nepal,,,1995,10.4269/ajtmh.1995.53.228,https://www.ajtmh.org/view/journals/tpmd/53/3/article-p228.xml,"Clayson, E. T. et al. Detection of hepatitis E virus infections among domestic swine in the Kathmandu Valley of Nepal. Am J Trop Med Hyg 53, 228-232 (1995)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Hepevirus Hepatitis E virus,,,,,,Hepevirus,Hepatitis E virus,,,,,,,,,Nepal,,,1995,10.1073/pnas.94.18.9860,https://www.pnas.org/doi/10.1073/pnas.94.18.9860?,"Meng, X. J. et al. A novel virus in swine is closely related to the human hepatitis E virus. Proc Natl Acad Sci U S A 94, 9860-9865 (1997)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Macavirus Suid herpesvirus 3,,,,,,Macavirus,Suid herpesvirus 3,,,,,,,,,Germany,,,1998,10.1099/0022-1317-80-4-971,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-80-4-971#tab2,"Ehlers, B., Ulrich, S. & Goltz, M. Detection of two novel porcine herpesviruses with high similarity to gammaherpesviruses. J Gen Virol 80 ( Pt 4), 971-978 (1999)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Macavirus Suid herpesvirus 4,,,,,,Macavirus,Suid herpesvirus 4,,,,,,,,,Germany,,,1998,10.1099/0022-1317-80-4-971,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-80-4-971#tab2,"Ehlers, B., Ulrich, S. & Goltz, M. Detection of two novel porcine herpesviruses with high similarity to gammaherpesviruses. J Gen Virol 80 ( Pt 4), 971-978 (1999)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Macavirus Suid herpesvirus 5,,,,,,Macavirus,Suid herpesvirus 5,,,,,,,,,Germany,,,2002,10.1016/S0042-6822(03)00006-0,https://www.sciencedirect.com/science/article/pii/S0042682203000060,"Chmielewicz, B. et al. A novel porcine gammaherpesvirus. Virology 308, 317-329, doi:S0042682203000060 [pii] (2003)."
